ORBITAL ENERGIES
-----------------

NO   OCC          E(Eh)            E(eV) 
   0   2.0000     -19.211230      -522.7641 
   1   2.0000     -19.211210      -522.7636 
   2   2.0000     -10.364867      -282.0424 
   3   2.0000      -1.172723       -31.9114 
   4   2.0000      -1.133246       -30.8372 
   5   2.0000      -0.572494       -15.5784 
   6   2.0000      -0.530885       -14.4461 
   7   2.0000      -0.525674       -14.3043 
   8   2.0000      -0.525674       -14.3043 
   9   2.0000      -0.381998       -10.3947 
  10   2.0000      -0.381998       -10.3947 
  11   0.0000      -0.016368        -0.4454 
  12   0.0000       0.022266         0.6059 
  13   0.0000       0.022266         0.6059 
  14   0.0000       0.054964         1.4956 
  15   0.0000       0.057046         1.5523 
  16   0.0000       0.057046         1.5523 
  17   0.0000       0.138034         3.7561 
  18   0.0000       0.178799         4.8654 
  19   0.0000       0.188338         5.1249 
  20   0.0000       0.188338         5.1249 
  21   0.0000       0.238007         6.4765 
*Only the first 10 virtual orbitals were printed.
